Date,IWQU,SCV,MVOL,XDEM,EIMI,XDEV,IWDA + EMIM,IWDA,DBMF_Testfolio,SCV+MOM,Gov global EUR,SGLD
12/1969,,,,,,,,10000.0,,,,
01/1970,,,,,,,,9445.5,,,,
02/1970,,,,,,,,9740.499999999998,,,,
03/1970,,,,,,,,9770.8,,,,
04/1970,,,,,,,,8857.8,,,,
05/1970,,,,,,,,8298.999999999998,,,,
06/1970,,,,,,,,8094.5999999999985,,,,
07/1970,,,,,,,,8596.5,,,,
08/1970,,,,,,,,8879.9,,,,
09/1970,,,,,,,,9166.7,,,,
10/1970,,,,,,,,9031.4,,,,
11/1970,,,,,,,,9233.7,,,,
12/1970,,,,,,,,9691.499999999998,,,,
01/1971,,,,,,,,10073.198169398906,,,,
02/1971,,,,,,,,10163.472934426227,,,,
03/1971,,,,,,,,10609.448166666663,,,,
04/1971,,,,,,,,10965.35832513661,,,,
05/1971,,,,,,,,10467.678934426227,,,,
06/1971,,,,,,,,10450.800516393443,,,,
07/1971,,,,,,,,10192.672349726778,,,,
08/1971,,,,,,,,10220.354133879784,,,,
09/1971,,,,,,,,9947.754704918034,,,,
10/1971,,,,,,,,9483.39607103825,,,,
11/1971,,,,,,,,9582.816002732236,,,,
12/1971,,,,,,,,10245.097967213118,,,,
01/1972,,,,,,,,10496.007557377046,,,,
02/1972,,,,,,,,10747.548726775958,,,,
03/1972,,,,,,,,10858.433065573769,,,,
04/1972,,,,,,,,11013.594928961747,,,,
05/1972,,,,,,,,11243.255672131145,,,,
06/1972,,,,,,,,10945.348655737704,,,,
07/1972,,,,,,,,11088.470415300544,,,,
08/1972,,,,,,,,11494.732841530056,,,,
09/1972,,,,,,,,11343.269642076504,,,,
10/1972,,,,,,,,11486.126754098355,,,,
11/1972,,,,,,,,12076.959289617484,,,,
12/1972,,,,,,,,12279.808644808742,,,,
01/1973,,,,,,,,12298.034459016391,,,,
02/1973,,,,,,,,11644.17744535519,,,,
03/1973,,,,,,,,10914.37050273224,,,,
04/1973,,,,,,,,10451.360262295084,,,,
05/1973,,,,,,,,10251.600983606557,,,,
06/1973,,,,,,,,9535.00508196721,,,,
07/1973,,,,,,,,8840.419672131145,,,,
08/1973,,,,,,,,8802.384180327868,,,,
09/1973,,,,,,,,9048.130229508197,,,,
10/1973,,,,,,,,9099.083928961749,,,,
11/1973,,,,,,,,8467.771046448088,,,,
12/1973,,,,,,,,8647.400606557376,,,,
01/1974,,,,,,,,9229.75915027322,,,,
02/1974,,,,,,,,9038.727967213112,,,,
03/1974,,,,,,,,8496.988961748631,,,,
04/1974,,,,,,,,8061.8220273224015,,,,
05/1974,,,,,,,,7539.356196721308,,,,
06/1974,,,,,,,,7491.309349726774,,,,
07/1974,,,,,,,,7124.404459016392,,,,
08/1974,,,,,,,,6602.302754098359,,,,
09/1974,,,,,,,,6083.947540983605,,,,
10/1974,,,,,,,,6495.389049180326,,,,
11/1974,,,,,,,,6192.2220491803255,,,,
12/1974,,,,,,,,5942.178344262292,,,,
01/1975,,,,,,,,6571.385106557376,,,,
02/1975,,,,,,,,7037.44287704918,,,,
03/1975,,,,,,,,7065.246836065572,,,,
04/1975,,,,,,,,7537.1281311475395,,,,
05/1975,,,,,,,,7633.216639344259,,,,
06/1975,,,,,,,,7696.536010928959,,,,
07/1975,,,,,,,,7681.989786885244,,,,
08/1975,,,,,,,,7871.629836065571,,,,
09/1975,,,,,,,,7674.307210382512,,,,
10/1975,,,,,,,,8086.434598360653,,,,
11/1975,,,,,,,,8332.993180327867,,,,
12/1975,,,,,,,,8443.52151639344,,,,
01/1976,,,,,,,,9130.650819672128,,,,
02/1976,,,,,,,,8921.711754098358,,,,
03/1976,,,,,,,,9020.22295081967,,,,
04/1976,,,,,,,,8877.521803278683,,,,
05/1976,,,,,,,,8811.816043715844,,,,
06/1976,,,,,,,,9138.293852459014,,,,
07/1976,,,,,,,,9042.26300546448,,,,
08/1976,,,,,,,,8863.330622950818,,,,
09/1976,,,,,,,,8798.177688524585,,,,
10/1976,,,,,,,,8284.386754098357,,,,
11/1976,,,,,,,,8196.156666666664,,,,
12/1976,,,,,,,,8703.32862568306,,,,
01/1977,,,,,,,,8446.466065573768,,,,
02/1977,,,,,,,,8451.209426229505,,,,
03/1977,,,,,,,,8351.58481967213,,,,
04/1977,,,,,,,,8381.797972677592,,,,
05/1977,,,,,,,,8213.973191256828,,,,
06/1977,,,,,,,,8511.632360655734,,,,
07/1977,,,,,,,,8135.14295081967,,,,
08/1977,,,,,,,,8288.997344262294,,,,
09/1977,,,,,,,,8418.31470491803,,,,
10/1977,,,,,,,,8110.710579234971,,,,
11/1977,,,,,,,,8078.220060109288,,,,
12/1977,,,,,,,,7909.038934426226,,,,
01/1978,,,,,,,,7558.598032786884,,,,
02/1978,,,,,,,,7357.782852459015,,,,
03/1978,,,,,,,,7526.635655737703,,,,
04/1978,,,,,,,,7900.449213114753,,,,
05/1978,,,,,,,,8245.84026229508,,,,
06/1978,,,,,,,,8242.04918032787,,,,
07/1978,,,,,,,,8715.999499999998,,,,
08/1978,,,,,,,,8661.141775956281,,,,
09/1978,,,,,,,,8640.462994535517,,,,
10/1978,,,,,,,,7910.742928961745,,,,
11/1978,,,,,,,,7903.306644808741,,,,
12/1978,,,,,,,,8053.607622950817,,,,
01/1979,,,,,,,,8374.890920906433,,,,
02/1979,,,,,,,,8254.020857135578,,,,
03/1979,,,,,,,,8597.40837285624,,,,
04/1979,,,,,,,,8680.583861842635,,,,
05/1979,,,,,,,,8624.512520948963,,,,
06/1979,,,,,,,,8770.254481359163,,,,
07/1979,,,,,,,,8519.581714406233,,,,
08/1979,,,,,,,,8888.38406914735,,,,
09/1979,,,,,,,,8989.741334052887,,,,
10/1979,,,,,,,,8356.556236998302,,,,
11/1979,,,,,,,,8578.480547190236,,,,
12/1979,,,,,,,,8610.029830033003,,,,
01/1980,,,,,,,,9038.277249530112,,,,
02/1980,,,,,,,,9126.32925237029,,,,
03/1980,,,,,,,,8576.25448029201,,,,
04/1980,,,,,,,,9246.79399250889,,,,
05/1980,,,,,,,,9281.477443413218,,,,
06/1980,,,,,,,,9583.373973052772,,,,
07/1980,,,,,,,,9754.886372002677,,,,
08/1980,,,,,,,,10142.39952356187,,,,
09/1980,,,,,,,,10421.777541480373,,,,
10/1980,,,,,,,,10994.77580438757,,,,
11/1980,,,,,,,,11855.562521343178,,,,
12/1980,,,,,,,,11961.844335825945,,,,
01/1981,,,,,,,,11648.067774294466,,,,
02/1981,,,,,,,,12476.965203762593,,,,
03/1981,,,,,,,,12928.440860125507,,,,
04/1981,,,,,,,,13277.616768444186,,,,
05/1981,,,,,,,,13812.83761526509,,,,
06/1981,,,,,,,,14316.175609394963,,,,
07/1981,,,,,,,,14502.287906427562,,,,
08/1981,,,,,,,,14601.508348041134,,,,
09/1981,,,,,,,,12889.970076914104,,,,
10/1981,,,,,,,,12890.541667817082,,,,
11/1981,,,,,,,,13699.030345969537,,,,
12/1981,,,,,,,,13591.621821251709,,,,
01/1982,,,,,,,,13595.404067993377,,,,
02/1982,,,,,,,,13196.535469761191,,,,
03/1982,,,,,,,,13069.349935119792,,,,
04/1982,,,,,,,,13921.24296299859,,,,
05/1982,,,,,,,,13105.77930943118,,,,
06/1982,,,,,,,,13238.749215457388,,,,
07/1982,,,,,,,,13347.3596582988,,,,
08/1982,,,,,,,,14401.689684100218,,,,
09/1982,,,,,,,,14602.444442438376,,,,
10/1982,,,,,,,,15788.85443274177,,,,
11/1982,,,,,,,,16901.680577602787,,,,
12/1982,,,,,,,,16931.700693616825,,,,
01/1983,,,,,,,,17169.288231161354,,,,
02/1983,,,,,,,,17849.62808841512,,,,
03/1983,,,,,,,,18568.863798841085,,,,
04/1983,,,,,,,,20179.162961727958,,,,
05/1983,,,,,,,,20104.1172773995,,,,
06/1983,,,,,,,,21368.722194556583,,,,
07/1983,,,,,,,,21270.25652618834,,,,
08/1983,,,,,,,,22075.8225640775,,,,
09/1983,,,,,,,,22535.007112009655,,,,
10/1983,,,,,,,,21901.245141163443,,,,
11/1983,,,,,,,,23065.33590776015,,,,
12/1983,,,,,,,,23950.12882648063,,,,
01/1984,,,,,,,,24688.22086689396,,,,
02/1984,,,,,,,,23533.813469091885,,,,
03/1984,,,,,,,,23761.04653164368,,,,
04/1984,,,,,,,,24090.848969313185,,,,
05/1984,,,,,,,,23109.645650953007,,,,
06/1984,,,,,,,,23302.57534882317,,,,
07/1984,,,,,,,,23329.021029625063,,,,
08/1984,,,,,,,,25956.588642959803,,,,
09/1984,,,,,,,,27077.329144808733,,,,
10/1984,,,,,,,,27861.15456210172,,,,
11/1984,,,,,,,,27027.73971968702,,,,
12/1984,,,,,,,,28678.466689876077,,,,
01/1985,,,,,,,,30995.40319912393,,,10000.0,10000.0
02/1985,,,,,,,,32208.939978512662,,,9863.581753295046,9734.440306461309
03/1985,,,,,,,,33397.68603403726,,,10049.398595769948,11164.75902834715
04/1985,,,,,,,,30997.603523281483,,,10226.071568780244,10144.172618856404
05/1985,,,,,,,,32813.40262377936,,,10580.433500296904,9982.344071408324
06/1985,,,,,,,,32812.04237372082,,,10712.482022975082,9926.515876734922
07/1985,,,,,,,,31851.11189320003,,,10765.885377108169,9733.096611135748
08/1985,,,,,,,,31005.54608423602,,,10922.23864019712,9565.035143737578
09/1985,,,,,,,,31738.563749497152,,,11030.791265286634,9502.242276083529
10/1985,,,,,,,,31387.082387569044,,,11095.626922234696,8901.49209075257
11/1985,,,,,,,,32496.146905342568,,,11300.64884976632,8735.640216043012
12/1985,,,,,,,,33210.72335646865,,,11551.291485252428,8575.111355447883
01/1986,,,,,,,,33002.130811381605,,,11626.868969435604,9002.671358515732
02/1986,,,,,,,,34556.29881776738,,,12077.39442135187,8344.70575660521
03/1986,,,,,,,,36883.360500298986,,,12602.27422928129,8255.93132796047
04/1986,,,,,,,,38092.02523496576,,,12715.255762018713,8342.529406254933
05/1986,,,,,,,,37315.86455836852,,,12469.239312917614,8137.781523643738
06/1986,,,,,,,,38964.876855285576,,,12747.826481513996,8256.158447535536
07/1986,,,,,,,,38122.30300999658,,,12842.49068351164,8263.7576131903
08/1986,,,,,,,,40205.47408020261,,,13114.547925909996,8626.854001721233
09/1986,,,,,,,,38301.3799379028,,,12907.375660143975,9417.345323763013
10/1986,,,,,,,,37221.11974386327,,,13054.76260463171,8825.549967799398
11/1986,,,,,,,,39188.98354148037,,,13187.185956910376,8661.536345785491
12/1986,,,,,,,,39397.4338052425,,,13281.110363643898,8570.307339842531
01/1987,,,,,,,,41379.91326885953,,,13486.408481407463,8255.105983727295
02/1987,,,,,,,,41985.7985984723,,,13670.15389714281,8218.878743890693
03/1987,,,,,,,,44508.67603346444,,,13734.407581816422,8512.881588447455
04/1987,,,,,,,,46500.47571944217,,,13723.182421675408,9046.74891530252
05/1987,,,,,,,,45997.36954796033,,,13750.97899573286,8894.065554905314
06/1987,,,,,,,,46790.4822651816,,,13719.069160006864,8980.441611620536
07/1987,,,,,,,,48410.79720751704,,,13579.247855086933,9421.09601345733
08/1987,,,,,,,,51665.75346124784,,,13526.88021432362,9308.60836816423
09/1987,,,,,,,,49438.17366903113,,,13285.095394133325,9189.120875588644
10/1987,,,,,,,,40740.7987332138,,,13774.35652607926,9308.434237552428
11/1987,,,,,,,,37341.57287678264,,,13901.78872630929,9189.296883523795
12/1987,,,,,,,,37769.07474318493,,,14027.573649084528,8802.601034015213
01/1988,,,,,,,,39090.53211276137,,,14395.567541334824,8374.95469701233
02/1988,,,,,,,,42547.48087274063,,,14535.714356170976,8018.6137753177345
03/1988,,,,,,,,43230.87360797952,,,14532.548032440513,8482.438929865839
04/1988,,,,,,,,43507.09835733132,,,14508.529346198538,8285.821302599608
05/1988,,,10000.0,,,,,43049.407751444174,,,14456.921228573065,8489.248068573032
06/1988,,,10282.096981973757,,,,,44578.43063248873,,,14567.249362296483,8439.011871983485
07/1988,,,10924.329752153086,,,,,47696.05055256297,,,14536.60211048793,8869.968615136104
08/1988,,,10645.458225053064,,,,,46076.46806820961,,,14498.67527328037,8881.54759870718
09/1988,,,10843.612659418799,,,,,47672.26037143905,,,14781.44475110328,8177.516566503812
10/1988,,,11012.116018940751,,,,,49577.69969077025,,,15061.807428333565,8291.387302798732
11/1988,,,10888.356518312969,,,,,49261.7377521392,,,14990.037423776426,8160.385525754275
12/1988,,,10960.521125780178,,,,,49748.81832871591,,,15039.6727540309,7928.669612401846
01/1989,,,11848.415468829824,,,,,53580.841991388814,,,15163.336930382304,7918.670088323071
02/1989,,,11886.770798957568,,,,,53892.680505504286,,,15029.828545049584,7874.758529802322
03/1989,,,12106.556774154022,,,,,53892.35714919982,,,15113.75091981211,7849.757735908633
04/1989,,,12592.504847415586,,,,,55429.233707333886,,,15301.777284142534,7777.159601835429
05/1989,,,13031.102266457185,,,,,56379.14721838333,,,15465.87373766268,7773.01669977566
06/1989,,,13387.821034338398,,,,,56734.149116425055,,,15781.016656243772,8158.327248725101
07/1989,,,13875.846093758171,,,,,60378.23523421277,,,16109.0024206101,7704.455604438152
08/1989,,,13950.40138739428,,,,,59814.91112407634,,,15978.058658859689,7643.266169828527
09/1989,,,14652.67881025526,,,,,62432.67617970854,,,15981.126343221602,7905.147623041729
10/1989,,,13969.223892747625,,,,,58064.81577812074,,,16192.74724450924,7790.387421524596
11/1989,,,14099.795657601688,,,,,59504.35810243043,,,16288.60498286634,8351.13911511976
12/1989,,,14113.811231023745,,,,,58876.27141089381,,,16368.266136907496,7867.3690072850995
01/1990,,,13142.712921266206,,,,,54469.11282492342,,,16139.294570691876,7904.596369778404
