Date,Vt,10g,10gd,10gdb
01/2000,9483.0,9510.75,9590.52,9671.85
02/2000,9743.69,9781.03,9828.13,9888.3
03/2000,10199.16,10132.73,10116.58,10130.02
04/2000,9670.21,9650.82,9674.29,9759.73
05/2000,9383.35,9383.0,9437.89,9564.02
06/2000,9795.55,9808.76,9805.46,9902.89
07/2000,9486.86,9491.67,9505.12,9662.9
08/2000,9889.19,9854.62,9837.3,9957.13
09/2000,9414.7,9416.04,9415.96,9619.37
10/2000,9183.83,9176.73,9217.47,9464.86
11/2000,8512.64,8588.5,8762.46,9136.47
12/2000,8746.82,8817.71,9060.46,9429.08
01/2001,8978.99,8996.38,9228.04,9591.01
02/2001,8211.4,8307.02,8601.51,9076.43
03/2001,7648.78,7767.64,8155.87,8711.75
04/2001,8267.31,8346.34,8646.37,9115.59
05/2001,8178.29,8279.55,8598.13,9090.75
06/2001,7964.13,8095.21,8421.01,8948.96
07/2001,7804.8,7935.54,8267.89,8848.44
08/2001,7468.8,7653.5,8031.25,8673.38
09/2001,6739.5,7056.4,7509.24,8261.86
10/2001,6926.98,7180.39,7654.12,8411.19
11/2001,7330.39,7535.96,7903.1,8584.29
12/2001,7449.11,7646.89,8029.52,8686.48
01/2002,7245.81,7475.09,7868.07,8557.81
02/2002,7194.31,7467.76,7849.92,8558.56
03/2002,7553.55,7812.24,8175.45,8830.14
04/2002,7362.48,7654.51,8018.77,8716.45
05/2002,7353.82,7697.4,8094.65,8811.0
06/2002,6930.58,7283.97,7765.39,8532.82
07/2002,6323.67,6684.95,7226.52,8062.73
08/2002,6342.71,6725.08,7286.76,8147.15
09/2002,5683.41,6146.1,6770.25,7724.91
10/2002,6072.05,6486.36,7055.94,7957.71
11/2002,6406.77,6801.55,7331.16,8194.9
12/2002,6127.55,6621.43,7213.98,8148.51
01/2003,5956.7,6493.98,7131.73,8090.55
02/2003,5854.55,6356.41,7030.35,8013.47
03/2003,5838.35,6316.62,6945.96,7920.0
04/2003,6359.75,6827.33,7454.21,8400.98
05/2003,6751.43,7255.26,7916.79,8868.27
06/2003,6888.7,7359.39,8003.66,8937.49
07/2003,7079.92,7562.05,8192.8,9070.69
08/2003,7254.79,7771.87,8418.7,9298.61
09/2003,7305.94,7845.27,8489.32,9401.77
